Position,Team,Tweets per user per team
1,#ManchesterUnited,1.853305785123967
2,#Chelsea,1.7093690248565965
3,#Juventus,1.56312625250501
4,#Barcelona,1.4508990318118948
5,#RealMadrid,1.3140794223826715
