Position,Team,Tweets per user per team
1,#ManchesterUnited,2.1646090534979425
2,#Barcelona,1.8075313807531381
3,#Chelsea,1.7478411053540588
4,#RealMadrid,1.6384778012684988
5,#Juventus,1.4962962962962962
