Position,Team,Tweets per user per team
1,#ManchesterUnited,2.5941080196399344
2,#Barcelona,2.5579078455790785
3,#RealMadrid,2.3958090803259604
4,#Chelsea,1.4009049773755655
5,#Juventus,1.369774919614148
