Position,Team,Tweets per user per team
1,#ManchesterUnited,1.7766116941529235
2,#Chelsea,1.6279411764705882
3,#Barcelona,1.5089820359281436
4,#Juventus,1.4447513812154695
5,#RealMadrid,1.2544483985765125
