Position,Team,Tweets per user per team
1,#ManchesterUnited,1.8264462809917354
2,#Chelsea,1.7385159010600706
3,#Barcelona,1.439265536723164
4,#RealMadrid,1.425947187141217
5,#Juventus,1.4242424242424243
