screen_name,name,location,created
RansfordCobbin4,Ransford Pjay,"Nsuaem, Ghana",2020-11-15
QueenSandy_CFC,👑§åñÐ¥ þêrêrå👑,"Royal County Of Berkshire,UK",2020-11-15
jhybow_whiskey,Mr. JB S.M.I.L.E🎹🎺🎼,"Lagos, Nigeria",2020-11-15
kabal30,LazyNigeriaYouth 💭❄️ #EndSwat 💯,"Lagos, Nigeria",2020-11-15
Raycfc17,RAY🇳🇬💙,Estadio Puente Stamford,2020-11-15
SenBanter,Sen_Fi_Dem_Banter,"England, United Kingdom",2020-11-15
Uyanda68492837,Uyanda,,2020-11-15
ChelseaChadder,Chad,"MHL, Gate 9",2020-11-15
cfcfc4eva,Bigsam,,2020-11-15
tiengudda,Tien Nguyen,"Ho Chi Minh, Vietnam",2020-11-15
okumakese,Okum Akese,"Wa, Upper West,Ghana",2020-11-15
Citso_Al,C-tso,"Ho, Ghana",2020-11-15
harve65,Mark Harvey,istanbul,2020-11-15
soccer_soccerMC,City 〜PremierLeague〜,,2020-11-15
SandraS27874170,Sandra Smith,,2020-11-15
_ItsAllChelsea,ItsAllChelsea,"London, England",2020-11-15
suzytuny4u,Sodeeq Opeyemi,"Lagos, Nigeria",2020-11-15
Am_zeus_mckaine,Zeus....😎,,2020-11-15
Cruyff_Junior,CRUYFF JR.,,2020-11-15
CISCTiruppur,Chelsea India - Tiruppur (at 🏠),"Tiruppur, India",2020-11-15
AlexandraFree19,Alexandra Freeman,,2020-11-15
REP_Andres_,Andres,"Houston, TX",2020-11-15
_waheed_96,Vⵠ𝐆ⵠⲃ⁰𝐍ⅅ 𝗦⁰ປ┕ (CFC) 💙,,2020-11-15
ScottGunner1,Scott Gunner,wickford Essex,2020-11-15
breezyZS,⚒🇬🇧,"Leicester, England",2020-11-15
AlkoSuoo,Suoo 💀,,2020-11-15
athanusjorge,George Athanus William,,2020-11-15
samdoria13,sambrosa,,2020-11-15
Emecinho_SNR,Cinho!✨,,2020-11-15
SBemmah,STORM,Dormaa Ahenkro,2020-11-15
footballitalia,footballitalia,,2020-11-15
BrendaPerrott,Brenda P. Williamson - Congrats to Pres. Biden,,2020-11-15
Ndidi78660383,Ndidi,,2020-11-15
KisaEd,Man like ED 🇺🇬🇰🇪,Uganda,2020-11-15
ShanShui1946,Sandra Smith,Sussex,2020-11-15
derekjennings17,Derek Jennings,,2020-11-15
LizzieFuller19,Lizzie Fuller,,2020-11-15
JohnIceAgency,john bolton,"Crawley, England",2020-11-15
NhanNgu75347791,Nhan Nguyen,,2020-11-15
jimohisah6,Chelsea Blue fan,"Abuja, Nigeria",2020-11-15
4lvo_,#Mugeiesque,kapsabet,2020-11-15
skinyai,STEVE KINYAI,Nairobi Kenya,2020-11-15
ProtestSPb,Protest SPb,"Saint Petersburg, Russia",2020-11-15
AFCReading,AFC Reading,"Reading, England",2020-11-15
Nanabarhevvy,Son of a King👑❤️,,2020-11-15
DomusHolmes,DomusHolmesPropertyFinder,United Kingdom,2020-11-15
AndrewJason89,Andrew Jason,Malaysia,2020-11-15
CFCJackspencer,jack,,2020-11-15
AslamBakar3,AslamBakar,United Kingdom,2020-11-15
nii_thompson30,IRAQ,,2020-11-15
ike_waasafi,Adviser Wa Arrizabalaga,Naivasha,2020-11-15
Thomas_SheIby,SRH Fan,Yahi kahin,2020-11-15
TransportNotice,Transport Notices,,2020-11-15
SAMJAYDKING,👑SAMJAYDKING👑 💣,NIGERIA,2020-11-15
