Position,Team,Tweets per user per team
1,#ManchesterUnited,2.133744855967078
2,#Chelsea,1.7385964912280703
3,#Barcelona,1.5875706214689265
4,#Juventus,1.4915773353751913
5,#RealMadrid,1.4401330376940134
