Position,Team,Tweets per user per team
1,#ManchesterUnited,2.6988543371522096
2,#Barcelona,2.526315789473684
3,#RealMadrid,2.5213483146067417
4,#Chelsea,1.4729950900163666
5,#Juventus,1.4415718717683557
