Position,Team,Tweets per user per team
1,#ManchesterUnited,2.495908346972177
2,#RealMadrid,2.4195183776932825
3,#Barcelona,2.3412204234122043
4,#Juventus,1.4126637554585153
5,#Chelsea,1.4037037037037037
