Position,Team,Tweets per user per team
1,#ManchesterUnited,1.739766081871345
2,#Chelsea,1.6826156299840511
3,#Juventus,1.4881118881118882
4,#Barcelona,1.4552319309600863
5,#RealMadrid,1.4232851985559567
