Position,Team,Tweets per user per team
1,#Chelsea,2.4271356783919598
2,#ManchesterUnited,2.1710794297352343
3,#Barcelona,1.8460451977401129
4,#RealMadrid,1.468313641245972
5,#Juventus,1.43562874251497
