Position,Team,Tweets per user per team
1,#ManchesterUnited,1.8558673469387754
2,#Barcelona,1.6214421252371916
3,#Chelsea,1.5257958287596047
4,#Juventus,1.4477085781433607
5,#RealMadrid,1.4256373937677054
