screen_name,name,location,created
aasszznnee,Asznee,,2020-11-19
AylesfordInt,AylesfordInt,"London, England",2020-11-19
Turbo__Timo,Timo,"Lagos, Nigeria",2020-11-19
otee_smlz,NIGERIA BLEEDS #ENDSARS,Stoneville🌿🏔 🌿,2020-11-19
king_slider,Don Dada👑,"Lagos, Nigeria",2020-11-19
Sethakande,Mr seth-skeng shelby,,2020-11-19
RomansEmpirePod,Roman's Empire Pod,"Los Angeles, CA",2020-11-19
LondonsFinestQU,London's Finest,,2020-11-19
stamford_bridge,History of ChelseaFC,London SW6,2020-11-19
benzeema007,#SARSMUSTEND✊✊,"Yenagoa, Nigeria",2020-11-19
fluentmediag,Raul Mateu,,2020-11-19
jamesne60235676,james newton,,2020-11-19
james_candour,LIBERATION,"Lagos, Nigeria",2020-11-19
flyingeze,Flying Eze,,2020-11-19
rebeccawalshol2,rebecca 💙💙💙💙 🎄🎄,"Mayo, Ireland",2020-11-19
LoyalFootballCo,Loyal Football Co.,Australia,2020-11-19
Alhassa83518932,Abdul JNR POGBA💓🙌,"Upper West, Ghana",2020-11-19
hasan01mahmud1,Hasan01Mahmud,"Dhaka,Bangladesh",2020-11-19
TurksonCee,Cee Turkson,"Accra, Ghana",2020-11-19
Papylo9,Papylo,,2020-11-19
CFCChronicle,Chelsea Chronicle,"London, England",2020-11-19
highhavertz,ajinkya rahane apologist,,2020-11-19
krisho1980,KRISHAN ODEDRA,,2020-11-19
chivomapius,WelBeast,Everywhere,2020-11-19
CfcEesa,Eesa Hussain,United Kingdom,2020-11-19
kengel_13,Daniel,Nigeria,2020-11-19
Real_DMacheda,Darlington Macheda™,Mind Your Business,2020-11-19
jacobeshun2,jacobeshun,western region.Bogoso,2020-11-19
Ran95926198,Ran 0532439154,,2020-11-19
johncarley1966,John Carley,Wembley Middlesex. ,2020-11-19
AdekoyaAdeniy16,Adekoya Adeniyi,,2020-11-19
batsflip,Maxime,,2020-11-19
CFCValentine,Valentine Miller,"Harare, Zimbabwe",2020-11-19
AbsoluteChelsea,Absolute Chelsea,,2020-11-19
The_wordsmith10,BENGAZY👑,"Kasoa, Ghana",2020-11-19
YusufJiyah,wambai¹,konoha♌,2020-11-19
FootyKeyrings,SD,,2020-11-19
ElChapo099,PULISIC’S BOOTS 🔥💙🚀,Ghana,2020-11-19
shaneneils1,Mr. Skeng🏝⚡,,2020-11-19
theAsianBlue,The Asian Blue 💙,Opinions Are My Own,2020-11-19
Dan0532439154,جيك مساج الرياض,,2020-11-19
ManUtdFanKe,manchester united  fans🇰🇪,"Nairobi, Kenya",2020-11-19
nsarko_2131,uncle nsarko,traveller ,2020-11-19
Kwa_bena18,The boy 👦,"Kasoa, Ghana",2020-11-19
KelvinExcel4,Kelvin Excel,"Nairobi, Kenya",2020-11-19
big_bentweet,big_ben,,2020-11-19
uchee_fia,uche,"Lagos, Nigeria",2020-11-19
GriffithPallett,Griff-Pall,,2020-11-19
Chilo617,Isidro Moreno,,2020-11-19
thepawnbroker1,Phil O'Brien,,2020-11-19
BrewBalcony,BalconyBrewReview,,2020-11-19
jalzjlajeljeae,jalzjlajeljeae,,2020-11-19
SMLigue1,Sports Mole Ligue 1,,2020-11-19
WingWarpApp,WingWarp,"San Francisco, CA",2020-11-19
6ixSideCalcio,6ixSide Calcio,"Toronto, Ontario",2020-11-19
HenryOteri2,Henry Oteri Okeoghen,Nigeria,2020-11-19
Zhariqutd,Zhariq,Malaysia,2020-11-19
TAJGoat,TAJ (𝓐𝓿𝓲 𝓜𝓪𝓴𝓮𝓻/𝓔𝓭𝓲𝓽𝓸𝓻) ⭐⭐⭐⭐⭐,Party Spot (Old Trafford),2020-11-19
gaurab_kashyap,AxomiyaLORA,"Assam, India",2020-11-19
footballitalia,footballitalia,,2020-11-19
Michel_Calcio,Michel Sakr,"Beirut, Lebanon",2020-11-19
Transferzone10,Football Transfers,Global,2020-11-19
ebuoe,ebuka,"ÜT: 6.6068857,3.321811",2020-11-19
SportMobApp,SportMob,"Dubai, United Arab Emirates ❤",2020-11-19
PSG24hours,PSG en Direct 🌐,Parc des Princes,2020-11-19
BernaBaII,\,/|\,2020-11-19
Mankindoficiel,𝕄𝕧𝕟𝕜𝕟𝕕,La Mia Casa,2020-11-19
Anirban36724285,Anirban,,2020-11-19
