Position,Team,Tweets per user per team
1,#RealMadrid,2.173076923076923
2,#ManchesterUnited,2.1189655172413793
3,#Barcelona,1.8565629228687415
4,#Chelsea,1.3748621830209482
5,#Juventus,1.2951388888888888
