Position,Team,Tweets per user per team
1,#ManchesterUnited,2.0278260869565217
2,#Chelsea,1.7760141093474426
3,#Barcelona,1.7139479905437351
4,#Juventus,1.512396694214876
5,#RealMadrid,1.474716202270382
