Position,Team,Tweets per user per team
1,#ManchesterUnited,2.18052738336714
2,#Chelsea,1.824956672443674
3,#Barcelona,1.7980225988700564
4,#Juventus,1.506726457399103
5,#RealMadrid,1.4849785407725322
