Position,Team,Tweets per user per team
1,#ManchesterUnited,2.675
2,#Barcelona,2.54292343387471
3,#RealMadrid,2.506741573033708
4,#Juventus,1.4225806451612903
5,#Chelsea,1.399830220713073
